اللحوم,جبنة بيضاء (فيتا/ثلاجة),30 جرام (قطعة صغيرة),(High-fat) غالباً
اللحوم,جبنة رومي / شيدر,30 جرام (شريحة),(High-fat)
اللحوم,كبدة,30 جرام,غنية بالحديد
اللحوم,أرانب,30 جرام,أخف أنواع اللحوم (Very Lean)
المجموعة,الصنف (Item),الحصة الواحدة (1 Exchange),ملاحظات
الدهون,زيوت نباتية (ذرة، عباد شمس),1 ملعقة صغيرة,الأساس في كل بيت
الدهون,زيت زيتون,1 ملعقة صغيرة,صحي جداً ومنتشر
الدهون,سمن (بلدي أو نباتي),1 ملعقة صغيرة,أساسي في الطبخ المصري
الدهون,زبدة,1 ملعقة صغيرة (قطعة صغيرة),
الدهون,طحينة,1 ملعقة كبيرة,(مهمة جداً في السلطات والمشاوي)
الدهون,قشطة (بلدي),1 ملعقة كبيرة,(منتشرة مع الفطور)
الدهون,زيتون (أخضر أو أسود),8-10 حبات كبيرة,(حسب الحجم والملوحة)
الدهون,مكسرات (لوز، بندق، فستق),6 حبات,
الدهون,سوداني,10 حبات,(أكثر المكسرات شعبية في مصر)
الدهون,لب (سوري/عباد شمس),1 ملعقة كبيرة (بدون قشر),
الدهون,لب (أبيض/قرع),1 ملعقة كبيرة (بدون قشر),
الدهون,أفوكادو,2 ملعقة كبيرة (أو 1/8 ثمرة),(بدأ ينتشر في الدايت حالياً)
الدهون,مايونيز,1 ملعقة صغيرة,
المجموعة,الصنف,الكمية,التصنيف
حلويات و سكريات,سكر أبيض,1 ملعقة كبيرة,1 نشويات
حلويات و سكريات,عسل نحل / عسل أسود,1 ملعقة كبيرة,1 نشويات
حلويات و سكريات,مربى,1 ملعقة كبيرة,1 نشويات
حلويات و سكريات,حلاوة طحينية,1 ملعقة كبيرة (قطعة صغيرة),1 نشويات + 1 دهون
حلويات و سكريات,شيكولاتة دارك (70%+),20 جرام,1 دهون + 1/2 نشويات
حلويات و سكريات,كنافة,قطعة صغيرة 50 جرام,1نشويات + 2دهون + 2سكر
حلويات و سكريات,قطايف,2 قطعة صعيرة,1نشويات + 1دهون + 1سكر
صوصات,خل (أبيض/تفاح),أي كمية,Free
صوصات,ليمون,أي كمية,Free
صوصات,مستردة (خردل),1 ملعقة كبيرة,Free
صوصات,صلصة طماطم (بيتي),1/4 كوب,Free (خضار)
صوصات,كاتشب,1 ملعقة كبيرة,1/2 حصة نشويات
صوصات,مخلل (بيت),1-2 قطعة صغيرة,Free (لكن حذر من الأملاح)
صوصات,ثوم / بصل بودرة / بهارات,أي كمية,Free
مشروبات,شاي / قهوة سادة,بدون سكر,Free
مشروبات,كركديه / ينسون / نعناع,بدون سكر,Free
مشروبات,قهوة خضراء / قرفة / زنجبيل,بدون سكر,Free
مشروبات,مياه غازية (دايت),1 عبوة,Free (يفضل التقليل)
مشروبات,كاكاو خام,1 ملعقة كبيرة,1 دهون
مشروبات,قمر الدين,1كوب,1فاكهة +1سكر
مشروبات,تمرهندي/خروب,1كوب,2سكر
المجموعة,الصنف,الكمية (للفرد),التصنيف
أكل مركب,مكرونة بالبشاميل,قطعة متوسطة (250جم),وجبة رئيسية مركبة (نشويات + بروتين + دهون)
أكل مركب,محشي (مشكل/كرنب),8 - 10 أصابع / حبات متوسطة,وجبة رئيسية مركبة (نشويات + خضار)
أكل مركب,كبسة (دجاج/لحم),1 كوب أرز + قطعة بروتين,وجبة رئيسية مركبة (نشويات + بروتين)
أكل مركب,مسقعة باللحم المفروم,1 كوب (أو مغرفة كبيرة),وجبة رئيسية مركبة (خضار + بروتين + دهون)
أكل مركب,كبة مقلية (شامية),2 - 3 حبات متوسطة,صنف جانبي مركب (نشويات + بروتين)
أكل مركب,سمبوسك (لحم/جبن),2 - 3 قطع (مخبوزة),صنف جانبي مركب (نشويات + بروتين/دهون)
أكل مركب,ملوخية بالأرانب/دجاج,1 كوب ملوخية + قطعة بروتين,وجبة رئيسية مركبة (خضار + بروتين)
أكل مركب,فطيرة جلاش باللحم,2 قطعة مربعة متوسطة,وجبة رئيسية مركبة (نشويات + بروتين)
أكل مركب,فتة مصرية (لحم),1 طبق متوسط (أرز + خبز + لحم),وجبة رئيسية مركبة (نشويات + بروتين)
أكل مركب,قدرة / مقلوبة,1 كوب أرز + خضار + بروتين,وجبة رئيسية مركبة (نشويات + خضار + بروتين)
أكل مركب,سلطة كول سلو,1 كوب صغير,صنف جانبي (خضار + دهون/سكريات)
أكل مركب,شوربة لسان عصفور,1 بوله متوسطة,صنف جانبي (نشويات + سوائل)
أكل مركب,شوربة عدس,1 بوله متوسطة,صنف جانبي (بروتين نباتي + سوائل)
أكل مركب,أرز بالخلطة/المكسرات,1 كوب أرز مطهو,وجبة رئيسية مركبة (نشويات + دهون)
أكل مركب,طاجن بامية باللحم,1 كوب بامية + قطعة لحم,وجبة رئيسية مركبة (خضار + بروتين)
